id,predicted_price
1000102,310147.3
3600072,589336.7
3800008,270256.28
6200017,222437.84
7200179,201493.84
7600065,489668.16
11501160,824342.1
11520200,750640.7
11520640,752620.5
13001215,284592.44
16000015,202786.22
16000200,280081.66
23500190,592934.56
23520380,484427.88
31000165,1560532.1
34001765,605654.06
40000228,180814.81
40000362,147564.73
40000553,220282.47
42000127,278098.22
50300090,428795.44
52000067,585402.1
65000260,778204.5
66000070,295852.6
66000265,381518.16
87000213,254249.55
87000245,232045.36
87000283,393963.1
88000173,470311.4
98000060,1361390.2
100100050,310107.7
100300500,290523.44
100600320,215013.45
100600860,198901.14
104500730,210336.33
104510180,250082.75
104510230,255478.2
104510440,242339.94
104540820,232594.61
104550690,299735.66
104560120,288368.16
106000015,411473.62
106000395,457201.53
108000127,487914.03
109200390,234431.17
112900020,356141.03
114100234,483394.6
114100763,296560.78
114101426,399772.72
117000100,606691.2
121059007,210605.69
121059038,367394.7
122029066,436874.66
123039147,402582.88
123039207,323037.8
123039279,184101.7
123039346,295657.4
123039364,239022.11
123039570,436404.53
123039633,342843.5
125059179,647006.8
126039252,377049.94
126039323,446777.88
126059225,505074.16
151000075,727222.56
162500015,389821.38
162500030,326290.72
173000025,302175.84
173000036,345256.44
173000140,411039.44
179003055,202691.48
185000161,252158.14
191100235,964093.9
194000575,489750.8
200500410,480167.78
200800330,414190.2
203600470,601859.06
203900460,355539.34
205000120,626905.5
207700050,557239.94
217500005,455302.25
217500015,354380.25
217500140,544807.2
224069102,548109.6
224069114,666188.5
225039049,586626.06
225039082,771416.8
226039186,342761.47
226059065,427634.84
226059096,1406297
236500050,287292.94
238000244,451348.66
239000115,329402.9
240000130,518831.34
240000269,603766.56
248000240,185206.73
249000180,2005110.9
251200240,490605.8
251300110,290543.38
251500330,1840633.8
253600180,409441.25
254000075,410961.84
254000100,602111.7
254000695,351199.84
255450020,373447.34
255450250,328710.62
255450400,364313.5
255520180,650784.75
255550070,354922.1
257000037,266189.7
257000105,204873.73
259000240,434900.5
259600620,518040.28
259600790,465993.22
259601010,431546.12
259800060,461631.9
263000006,454994.06
263000018,454900.34
263000155,454632.3
263000253,444813.28
269000030,974379.8
269000970,1480465.2
271200130,233322.88
273800100,267986.2
273900030,240395.1
274100090,337661.8
280610020,1153164.2
284000095,996229.75
287000110,638812.44
290000075,456787.5
290200230,685405.94
291300010,334377.8
291310100,413823.4
291310150,347048
291310170,428443.9
291310310,507513.94
291310340,487269.53
291310390,351784.44
293000145,405143.38
293610040,579877.9
293620220,827670.3
293700110,782397.8
293760150,901833.94
293810190,472543.16
293850040,638352.6
301400830,251749.17
301401370,335189.75
301402280,215464.02
302000065,176719.22
302000375,246352.6
304000380,224310.34
305000170,641682.8
305010050,669858.7
318300040,469210.7
318500300,702553.1
318900080,427614.03
319500080,708957.94
320069049,361821.9
321030150,323765.4
321100260,716724.75
322059097,286182.44
322059264,274033.03
322069020,451776.28
322069109,386624.38
322069141,436145.3
322069180,631082.3
323059103,365686.38
323059208,390439
323089085,696540.9
323089172,440543.88
324000280,647718.6
324000530,490615.66
324059161,995951.44
326049038,444326.12
326049060,565738.3
326049103,489996.56
326069131,567895.2
326069132,392808.34
327000100,1010202.75
333100209,731270.2
339350150,729881.56
339600110,454611.5
339600290,381456.3
342000036,500037
345700040,256006.23
357000005,627659.9
357000025,652306.5
357000135,1241861.2
369000365,340984.25
369000690,454074.66
379000051,283257
384000135,493669.2
393000142,403558.47
396100025,365642.78
396100110,293367.5
402000115,293043.4
405100165,411354.34
414100045,391217.62
414100630,338786.9
418000010,167778.03
420000085,243771.98
421000285,231922.12
421000455,227058.16
421049114,186254.62
421059018,279601.53
422049178,210730.45
422049203,229461.83
422069067,425018.53
423059207,282287.25
423059387,573741.2
424049043,754700.56
424069018,798706.25
424069096,458596.75
424069112,740642.75
424069206,803412.94
424069264,727499.4
425059024,653639.1
425069020,1148095.8
425069139,612392
425079001,657682.2
425079100,502571.78
425200205,233306.84
426059055,589159.1
431500155,618260.75
434000030,630243.25
438000015,637305.8
438000025,579392
441000115,459097.34
446000010,534219.7
446000190,733737.5
452001475,510944.97
452001860,470229.34
461004720,616815.5
475000176,448239.56
475000190,495865.66
475000510,622000.2
476000017,495362.28
476000333,457567.94
507100005,389006.22
510000641,660998.5
510001280,896868.8
511700170,305948.12
514500090,563552.6
514500235,444446.06
518500460,1430095
518500700,816859.8
519000043,514989.2
521049227,849912.8
522049074,371643.9
522049104,273212.88
522049122,279905.94
522059130,277354.75
522059172,247133.6
522059189,236974.58
522059299,293090.1
522069022,520411.66
522069119,464879.53
522079022,514615.1
523049195,205031.08
524059063,1814951
524059322,788399.6
524059323,788933.6
524069011,649938.1
524069049,545250
524069115,892103.7
524069116,490263.47
525049085,599659.6
525069127,1315876.8
525069133,922789.94
526059103,320783.53
526059183,382270.97
526069024,977864.1
534000080,300735.8
537000255,212707.16
540100057,1479887.9
546000400,445906.94
546000930,659733.25
546001060,646797
558100090,522307.03
567000755,391701.8
567000775,395523.53
569000050,591861.1
579000550,443943.22
582000135,622281.44
582000185,613792.3
585000095,621662.75
587550010,628427.1
587800130,295435.3
597000550,404924.75
597000566,338581.16
597000593,399511.28
603000555,337659.25
616000200,358893.88
619000100,339250.84
621069039,338001.4
621069102,218074.75
621069218,410489.47
622069006,904477.3
623049185,242533.45
624069003,779032.44
624100950,775522.5
624101110,768437.94
624110020,735377.44
624110610,845889.1
624110920,810210.06
626049058,434440.78
626059317,340246.84
626059335,491999.28
626100023,608325
626400020,761560.44
627300105,853918.2
629000605,1112540.1
629000730,655092.56
629410130,733849.5
629410180,734722.06
629410190,746223.2
629800380,1265136.8
629810350,828157.44
629810720,832804.94
629810800,904979.5
629811340,679074
629811600,682730.5
631000040,594410
635000009,820795.56
